move_order_id,move_order_number,move_order_date,move_order_type,source_location,destination_location,requested_by,approved_by,moved_by,reference_type,reference_id,priority,move_status,remarks,created_at,updated_at
235,MO2025093000235,2025-09-30,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,235,Medium,In Transit,Finished Goods Transfer for motor manufacturing warehouse movement,2025-09-30 09:18:00,2025-09-30 15:54:00
236,MO2025100200236,2025-10-02,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,236,High,Approved,QA Hold Transfer for motor manufacturing warehouse movement,2025-10-02 09:25:00,2025-10-02 15:05:00
237,MO2025100400237,2025-10-04,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,237,High,Requested,Rejection Transfer for motor manufacturing warehouse movement,2025-10-04 09:32:00,2025-10-04 15:16:00
238,MO2026013000238,2026-01-30,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,238,High,Draft,Draft dispatch staging transfer request awaiting confirmation,2026-01-30 09:39:00,2026-01-30 15:27:00
239,MO2025010600239,2025-01-06,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Low,Cancelled,Raw Material Transfer cancelled due to revised material movement plan,2025-01-06 09:46:00,2025-01-06 15:38:00
240,MO2025070800240,2025-07-08,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,240,High,Rejected,Production Issue Transfer rejected due to location or quantity mismatch,2025-07-08 09:53:00,2025-07-08 15:49:00
241,MO2026122500241,2026-12-25,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,241,High,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-12-25 09:00:00,2026-12-25 15:00:00
242,MO2026092900242,2026-09-29,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,242,Medium,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2026-09-29 09:07:00,2026-09-29 15:11:00
243,MO2026100100243,2026-10-01,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,243,High,In Transit,QA Hold Transfer for motor manufacturing warehouse movement,2026-10-01 09:14:00,2026-10-01 15:22:00
244,MO2025112700244,2025-11-27,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,244,Urgent,Approved,Rejection Transfer for motor manufacturing warehouse movement,2025-11-27 09:21:00,2025-11-27 15:33:00
245,MO2026020400245,2026-02-04,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,245,High,Requested,Dispatch Staging Transfer for motor manufacturing warehouse movement,2026-02-04 09:28:00,2026-02-04 15:44:00
246,MO2025010700246,2025-01-07,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Draft,Draft raw material transfer request awaiting confirmation,2025-01-07 09:35:00,2025-01-07 15:55:00
247,MO2025092400247,2025-09-24,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,247,Low,Cancelled,Production Issue Transfer cancelled due to revised material movement plan,2025-09-24 09:42:00,2025-09-24 15:06:00
248,MO2025092800248,2025-09-28,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,248,Medium,Rejected,Semi-Finished Transfer rejected due to location or quantity mismatch,2025-09-28 09:49:00,2025-09-28 15:17:00
249,MO2025112100249,2025-11-21,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,249,High,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2025-11-21 09:56:00,2025-11-21 15:28:00
250,MO2025112300250,2025-11-23,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,250,Urgent,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2025-11-23 09:03:00,2025-11-23 15:39:00
251,MO2025112500251,2025-11-25,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,251,High,In Transit,Rejection Transfer for motor manufacturing warehouse movement,2025-11-25 09:10:00,2025-11-25 15:50:00
252,MO2026021000252,2026-02-10,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,252,High,Approved,Dispatch Staging Transfer for motor manufacturing warehouse movement,2026-02-10 09:17:00,2026-02-10 15:01:00
253,MO2025010200253,2025-01-02,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Requested,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-02 09:24:00,2025-01-02 15:12:00
254,MO2025101700254,2025-10-17,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,254,High,Draft,Draft production issue transfer request awaiting confirmation,2025-10-17 09:31:00,2025-10-17 15:23:00
255,MO2025110800255,2025-11-08,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,255,Low,Cancelled,Semi-Finished Transfer cancelled due to revised material movement plan,2025-11-08 09:38:00,2025-11-08 15:34:00
256,MO2026111500256,2026-11-15,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,256,Medium,Rejected,Finished Goods Transfer rejected due to location or quantity mismatch,2026-11-15 09:45:00,2026-11-15 15:45:00
257,MO2026111700257,2026-11-17,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,257,High,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2026-11-17 09:52:00,2026-11-17 15:56:00
258,MO2026111900258,2026-11-19,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,258,High,Completed,Rejection Transfer for motor manufacturing warehouse movement,2026-11-19 09:59:00,2026-11-19 15:07:00
259,MO2026021200259,2026-02-12,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,259,High,In Transit,Dispatch Staging Transfer for motor manufacturing warehouse movement,2026-02-12 09:06:00,2026-02-12 15:18:00
260,MO2025010300260,2025-01-03,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Approved,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-03 09:13:00,2025-01-03 15:29:00
261,MO2027022500261,2027-02-25,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,261,Urgent,Requested,Production Issue Transfer for motor manufacturing warehouse movement,2027-02-25 09:20:00,2027-02-25 15:40:00
262,MO2026012800262,2026-01-28,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,262,Medium,Draft,Draft semi-finished transfer request awaiting confirmation,2026-01-28 09:27:00,2026-01-28 15:51:00
263,MO2026032700263,2026-03-27,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,263,Low,Cancelled,Finished Goods Transfer cancelled due to revised material movement plan,2026-03-27 09:34:00,2026-03-27 15:02:00
264,MO2026032900264,2026-03-29,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,264,High,Rejected,QA Hold Transfer rejected due to location or quantity mismatch,2026-03-29 09:41:00,2026-03-29 15:13:00
265,MO2026032600265,2026-03-26,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,265,Urgent,Completed,Rejection Transfer for motor manufacturing warehouse movement,2026-03-26 09:48:00,2026-03-26 15:24:00
266,MO2026021800266,2026-02-18,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,266,Urgent,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2026-02-18 09:55:00,2026-02-18 15:35:00
267,MO2025010400267,2025-01-04,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Medium,In Transit,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-04 09:02:00,2025-01-04 15:46:00
268,MO2026030300268,2026-03-03,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,268,High,Approved,Production Issue Transfer for motor manufacturing warehouse movement,2026-03-03 09:09:00,2026-03-03 15:57:00
269,MO2026031000269,2026-03-10,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,269,High,Requested,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-03-10 09:16:00,2026-03-10 15:08:00
270,MO2027010300270,2027-01-03,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,270,Medium,Draft,Draft finished goods transfer request awaiting confirmation,2027-01-03 09:23:00,2027-01-03 15:19:00
271,MO2025072200271,2025-07-22,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,271,Low,Cancelled,QA Hold Transfer cancelled due to revised material movement plan,2025-07-22 09:30:00,2025-07-22 15:30:00
272,MO2025072400272,2025-07-24,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,272,High,Rejected,Rejection Transfer rejected due to location or quantity mismatch,2025-07-24 09:37:00,2025-07-24 15:41:00
273,MO2026030100273,2026-03-01,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,273,High,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2026-03-01 09:44:00,2026-03-01 15:52:00
274,MO2025010500274,2025-01-05,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-05 09:51:00,2025-01-05 15:03:00
275,MO2025051400275,2025-05-14,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,275,High,In Transit,Production Issue Transfer for motor manufacturing warehouse movement,2025-05-14 09:58:00,2025-05-14 15:14:00
276,MO2027041400276,2027-04-14,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,276,Medium,Approved,Semi-Finished Transfer for motor manufacturing warehouse movement,2027-04-14 09:05:00,2027-04-14 15:25:00
277,MO2025092900277,2025-09-29,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,277,High,Requested,Finished Goods Transfer for motor manufacturing warehouse movement,2025-09-29 09:12:00,2025-09-29 15:36:00
278,MO2025100100278,2025-10-01,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,278,High,Draft,Draft qa hold transfer request awaiting confirmation,2025-10-01 09:19:00,2025-10-01 15:47:00
279,MO2025100300279,2025-10-03,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,279,Low,Cancelled,Rejection Transfer cancelled due to revised material movement plan,2025-10-03 09:26:00,2025-10-03 15:58:00
280,MO2026031300280,2026-03-13,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,280,High,Rejected,Dispatch Staging Transfer rejected due to location or quantity mismatch,2026-03-13 09:33:00,2026-03-13 15:09:00
281,MO2025010600281,2025-01-06,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-06 09:40:00,2025-01-06 15:20:00
282,MO2025081000282,2025-08-10,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,282,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2025-08-10 09:47:00,2025-08-10 15:31:00
283,MO2025080700283,2025-08-07,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,283,Medium,In Transit,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-08-07 09:54:00,2025-08-07 15:42:00
284,MO2027012600284,2027-01-26,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,284,Medium,Approved,Finished Goods Transfer for motor manufacturing warehouse movement,2027-01-26 09:01:00,2027-01-26 15:53:00
285,MO2027012800285,2027-01-28,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,285,High,Requested,QA Hold Transfer for motor manufacturing warehouse movement,2027-01-28 09:08:00,2027-01-28 15:04:00
286,MO2025112500286,2025-11-25,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,286,Urgent,Draft,Draft rejection transfer request awaiting confirmation,2025-11-25 09:15:00,2025-11-25 15:15:00
287,MO2026032000287,2026-03-20,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,287,Low,Cancelled,Dispatch Staging Transfer cancelled due to revised material movement plan,2026-03-20 09:22:00,2026-03-20 15:26:00
288,MO2025010700288,2025-01-07,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Rejected,Raw Material Transfer rejected due to location or quantity mismatch,2025-01-07 09:29:00,2025-01-07 15:37:00
289,MO2025092700289,2025-09-27,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,289,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2025-09-27 09:36:00,2025-09-27 15:48:00
290,MO2025100300290,2025-10-03,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,290,Medium,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-10-03 09:43:00,2025-10-03 15:59:00
291,MO2025112700291,2025-11-27,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,291,Medium,In Transit,Finished Goods Transfer for motor manufacturing warehouse movement,2025-11-27 09:50:00,2025-11-27 15:10:00
292,MO2025122300292,2025-12-23,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,292,Urgent,Approved,QA Hold Transfer for motor manufacturing warehouse movement,2025-12-23 09:57:00,2025-12-23 15:21:00
293,MO2025122500293,2025-12-25,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,293,High,Requested,Rejection Transfer for motor manufacturing warehouse movement,2025-12-25 09:04:00,2025-12-25 15:32:00
294,MO2026032700294,2026-03-27,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,294,High,Draft,Draft dispatch staging transfer request awaiting confirmation,2026-03-27 09:11:00,2026-03-27 15:43:00
295,MO2025010200295,2025-01-02,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Low,Cancelled,Raw Material Transfer cancelled due to revised material movement plan,2025-01-02 09:18:00,2025-01-02 15:54:00
296,MO2027060900296,2027-06-09,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,296,Urgent,Rejected,Production Issue Transfer rejected due to location or quantity mismatch,2027-06-09 09:25:00,2027-06-09 15:05:00
297,MO2025112200297,2025-11-22,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,297,High,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-11-22 09:32:00,2025-11-22 15:16:00
298,MO2027031400298,2027-03-14,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,298,Medium,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2027-03-14 09:39:00,2027-03-14 15:27:00
299,MO2027031600299,2027-03-16,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,299,High,In Transit,QA Hold Transfer for motor manufacturing warehouse movement,2027-03-16 09:46:00,2027-03-16 15:38:00
300,MO2027031800300,2027-03-18,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,300,High,Approved,Rejection Transfer for motor manufacturing warehouse movement,2027-03-18 09:53:00,2027-03-18 15:49:00
301,MO-SFG-0301,2025-04-01,Semi Finished Transfer,STAT_WIP,ASMB_WIP,1,1,1,Production Order,,High,Completed,SFG Transfer to Assembly for Finished Stator 1.5kW.,2025-04-01 09:00:00,2025-04-01 15:00:00
302,MO-SFG-0302,2025-04-01,Semi Finished Transfer,STAT_WIP,ASMB_WIP,1,1,1,Production Order,,High,Completed,SFG Transfer to Assembly for Finished Stator 3kW.,2025-04-01 09:00:00,2025-04-01 15:00:00
303,MO-SFG-0303,2025-04-01,Semi Finished Transfer,STAT_WIP,ASMB_WIP,1,1,1,Production Order,,High,Completed,SFG Transfer to Assembly for Finished Stator 7.5kW.,2025-04-01 09:00:00,2025-04-01 15:00:00
304,MO-SFG-0304,2025-04-01,Semi Finished Transfer,ROTR_WIP,ASMB_WIP,1,1,1,Production Order,,High,Completed,SFG Transfer to Assembly for Finished Rotor 1.5kW.,2025-04-01 09:00:00,2025-04-01 15:00:00
305,MO-SFG-0305,2025-04-01,Semi Finished Transfer,ROTR_WIP,ASMB_WIP,1,1,1,Production Order,,High,Completed,SFG Transfer to Assembly for Finished Rotor 3kW.,2025-04-01 09:00:00,2025-04-01 15:00:00
306,MO-SFG-0306,2025-04-01,Semi Finished Transfer,ROTR_WIP,ASMB_WIP,1,1,1,Production Order,,High,Completed,SFG Transfer to Assembly for Finished Rotor 7.5kW.,2025-04-01 09:00:00,2025-04-01 15:00:00
